Year,Role,Runs,Balls,Outs,Innings,Players,Average,Strike Rate
2008,Lower Order,1652,1469,146.0,229,68,11.32,112.46
2008,Middle Order,8377,6455,321.0,410,52,26.1,129.78
2008,Top Order,6780,5108,222.0,242,34,30.54,132.73
2009,Lower Order,1275,1295,128.0,206,61,9.96,98.46
2009,Middle Order,8738,7271,333.0,417,59,26.24,120.18
2009,Top Order,5363,4602,236.0,252,30,22.72,116.54
2010,Lower Order,1573,1536,138.0,228,81,11.4,102.41
2010,Middle Order,8402,6394,298.0,381,45,28.19,131.4
2010,Top Order,7779,6070,289.0,308,38,26.92,128.15
2011,Lower Order,1513,1472,131.0,228,81,11.55,102.79
2011,Middle Order,9921,8310,394.0,517,63,25.18,119.39
2011,Top Order,8494,6726,288.0,310,36,29.49,126.29
2012,Lower Order,2001,1676,162.0,267,76,12.35,119.39
2012,Middle Order,8726,7053,335.0,451,55,26.05,123.72
2012,Top Order,10596,8541,361.0,390,39,29.35,124.06
2013,Lower Order,2263,2116,188.0,304,80,12.04,106.95
2013,Middle Order,9677,7706,388.0,496,54,24.94,125.58
2013,Top Order,9547,7877,336.0,362,38,28.41,121.2
2014,Lower Order,1571,1326,106.0,191,58,14.82,118.48
2014,Middle Order,9010,6697,308.0,404,44,29.25,134.54
2014,Top Order,7362,5878,260.0,278,31,28.32,125.25
2015,Lower Order,2005,1623,133.0,233,62,15.08,123.54
2015,Middle Order,8434,6206,325.0,398,40,25.95,135.9
2015,Top Order,6988,5373,233.0,250,27,29.99,130.06
2016,Lower Order,1595,1295,114.0,192,58,13.99,123.17
2016,Middle Order,8398,6393,323.0,415,51,26.0,131.36
2016,Top Order,7969,5979,229.0,258,27,34.8,133.28
2017,Lower Order,1954,1686,147.0,246,72,13.29,115.9
2017,Middle Order,8001,5944,303.0,369,42,26.41,134.61
2017,Top Order,7965,5810,261.0,283,29,30.52,137.09
2018,Lower Order,1792,1482,144.0,226,65,12.44,120.92
2018,Middle Order,8914,6347,322.0,401,45,27.68,140.44
2018,Top Order,8392,6018,256.0,278,28,32.78,139.45
2019,Lower Order,1230,1110,117.0,195,68,10.51,110.81
2019,Middle Order,9417,7038,328.0,423,51,28.71,133.8
2019,Top Order,7960,5767,240.0,256,25,33.17,138.03
2020,Lower Order,1947,1610,124.0,209,64,15.7,120.93
2020,Middle Order,7897,5855,286.0,370,42,27.61,134.88
2020,Top Order,8722,6641,266.0,289,27,32.79,131.34
2021,Lower Order,1904,1668,136.0,230,68,14.0,114.15
2021,Middle Order,6706,5245,309.0,380,48,21.7,127.86
2021,Top Order,9117,7051,272.0,299,33,33.52,129.3
2022,Lower Order,2788,2245,197.0,318,80,14.15,124.19
2022,Middle Order,10910,7804,383.0,487,55,28.49,139.8
2022,Top Order,9354,7161,332.0,353,39,28.17,130.62
2023,Lower Order,2909,2301,190.0,333,89,15.31,126.42
2023,Middle Order,11080,7550,408.0,504,54,27.16,146.75
2023,Top Order,10439,7386,318.0,334,34,32.83,141.33
2024,Lower Order,3436,2441,193.0,307,82,17.8,140.76
2024,Middle Order,10613,7043,353.0,450,50,30.07,150.69
2024,Top Order,10608,6890,337.0,358,39,31.48,153.96
2025,Lower Order,3223,2314,190.0,323,82,16.96,139.28
2025,Middle Order,10635,6945,346.0,439,44,30.74,153.13
2025,Top Order,11451,7327,337.0,361,40,33.98,156.28
2026,Lower Order,1691,1274,100.0,171,68,16.91,132.73
2026,Middle Order,4866,3323,180.0,226,38,27.03,146.43
2026,Top Order,7131,4279,203.0,219,36,35.13,166.65
